,M_ac_e,M_co2_e,M_etoh_e,M_fe2_e,M_fum_e,M_glu__45__L_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_nh4_e,M_o2_e,M_orot_e,M_pi_e,M_pro__45__L_e,M_pyr_e,M_so4_e,M_succ_e,objective,virtual_tag_R_constraint_reaction,M_mal__45__L_e
109,0.0,0.4519447365048573,0.0,-6.832756916898541e-06,0.0,0.0,0.0,16.781484492234714,0.0,0.0,-7.745081126430424,-1.2342990878194515,2.776107654695781,-0.18717835165246685,0.0,0.0,-0.05024025679276122,0.0,0.20096343873230793,1.0,-5.724856074852978
110,0.0,0.4519447365048573,0.0,-6.832756916898541e-06,0.0,0.0,0.010048171936612619,16.77646040626641,0.0,0.0,-7.745081126430424,-1.2342990878194515,2.776107654695781,-0.18717835165246685,0.0,0.0,-0.05024025679276122,0.0,0.20096343873230793,1.0,-5.729880160821286
111,0.0,0.0,0.0,-6.832756916898545e-06,0.0,0.0,0.0,18.589263438254168,0.0,0.0,-8.64897059944015,-1.4602714560718815,3.2280523912006425,-0.18717835165246624,0.0,0.0,-0.050240256792761326,0.0,0.20096343873230765,1.0,-6.176800811357834
112,0.0,0.0,0.0,-6.832756916898545e-06,0.0,0.0,0.010048171936615011,18.58423935228586,0.0,0.0,-8.64897059944015,-1.4602714560718815,3.2280523912006425,-0.18717835165246624,0.0,0.0,-0.050240256792761326,0.0,0.20096343873230765,1.0,-6.181824897326139
113,0.0,0.0,0.0,-6.832756916898551e-06,0.0,0.0,0.0,21.673469662163676,0.0,0.0,-9.882653089003954,-0.7823543513145927,3.8448936359825403,-0.18717835165246377,0.0,0.6168412447818965,-0.050240256792758044,2.5895166990783727,0.200963438732308,1.0,-10.0
114,0.0,0.0,0.0,-6.832756916898546e-06,0.0,0.0,0.010048171936614123,21.662165468734962,0.0,0.0,-9.880141046019789,-0.7823543513145896,3.8436376144904627,-0.18717835165246452,0.0,0.6155852232898197,-0.05024025679275755,2.5870046560942166,0.200963438732307,1.0,-10.0
115,0.0,0.0,0.0,-6.832756916898571e-06,0.0,0.0,0.0,25.5577447107813,0.0,1.0358066796313514,-12.472169788082361,-1.818161030945945,4.621748645706066,-0.18717835165246527,0.0,1.3936962545054108,-0.050240256792759556,0.0,0.2009634387323078,1.0,-10.0
116,0.0,0.0,0.0,-6.832756916898565e-06,0.0,0.0,0.010048171936614187,25.542672452876364,0.0,1.0348018624376867,-12.467145702114047,-1.8171562137522859,4.619739011318739,-0.18717835165246466,0.0,1.3916866201180893,-0.05024025679275999,0.0,0.2009634387323079,1.0,-10.0
117,0.0,0.0,0.0,-6.832756916898563e-06,0.0,0.0,0.0,28.14726140985966,2.589516699078377,0.0,-12.472169788082349,-3.371871050392971,5.139651985521734,-0.18717835165246244,0.0,1.9115995943210853,-0.050240256792759286,0.0,0.20096343873231015,1.0,-10.0
118,0.0,0.0,0.0,-6.8327569168985605e-06,0.0,0.0,0.010048171936614884,28.129677108970576,2.5870046560942237,0.0,-12.467145702114038,-3.3693590074088187,5.137139942537582,-0.1871783516524632,0.0,1.9090875513369345,-0.05024025679275661,0.0,0.2009634387323087,1.0,-10.0
